qid,question_text,target
1cc67025519a7e0d23a5,What is your experience living in Venezuela in the current crisis? (2018),0
bfabc9f014b5d3e1b08c,In which state/city the price of property is highest?,0
73315f395204472d6afc,"Do rich blacks also call poor whites, “White Trash”?",0
f1563710d0cd93650e26,"Should my 5 yr old son and 2 yr old daughter spend the summer with their father, after a domestic violent relationship?",0
fbada72d37e57f01d18f,Why do we have parents?,0
10163b76f1026045b387,Do we experience ghost like Murphy did in Interstellar?,0
e6b1d25dc6f33a8f9c80,Are Estoniano women beautiful?,0
8ed847a3b579f380cc22,There was a Funny or Die video called Sensitivity Hoedown that got pulled. Does anyone know why?,0
3e7692fb97594f4565e3,"Is it a good idea to go in fully mainstream classes, even if I have meltdowns that might disrupt people?",0
2bc0311ef9a5072ff029,What classifies a third world country as such?,0
61cd9c5739ac993756ef,Is being a pilot safe?,0
2bada258826375e0a248,Who is Illiteratendra Modi? Why does he keep with him a Rs 1 lakh pen?,1
d3118eca2e46c2cb7c41,Have modern management strategies such as Total supply Chain Management applied to education? Can they be?,0
0c2b8bbc92b97986c0be,Why are Lucky Charms considered good for you?,0
9477a3cc7304e70c1cbd,"How many people in India use WhatsApp, Facebook, Twitter and Instagram?",0
239132d2864f4dbe5de4,Do we adapt habit of our partner when we are in love?,0
2a98abae1b3b6b102d8f,How can I turn off screen overlay for a techno W2:?,0
c8f6bbab3e4406bcfc08,When did Beverly Sills appear in Philadelphia and how many times with dates did she appear?,0
3f5d5c9d90786ed07acd,How do physicists know the value of constants to 10+ significant figures? In lab I used to struggle to get things right to 3 significant figures.,0
8d974a1deaf00d3504d6,What were the fashion trends in 2009?,0
0f23ebe1e00a6cd9e665,What does onomatopoeia include?,0
3f81990c8dd5642d61b6,What is more shameless than becoming a Modi Bhakt in India?,1
f8d0ffd37d5dbb863e19,Why do women call promiscuous women negative names like slut or whore rather than being positive about them claiming their sexual freedom?,0
112add8345b567bbfc06,How safe is it to have sex with a condom with an HIV positive person?,0
4501bd67a4a43ff7e6f4,Should I separate lovebirds while it is laying egg from other birds?,0
c597033952ad463c3a71,What is a good plan to market a new meetup group?,0
95ec97810aa9e1d205c6,What are the stages of an unborn baby?,0
d34095782ae4158bf7b4,Is it true that if you use your brain at its maximum you won't get fat no matter how much you eat?,0
45d534193c301631bbe8,What would America be like today under Hillary Clinton?,0
45ceb4c6919366d6682f,Where can I find underage porn?,0
84d964a43595e997eb64,What should I do if I won't stop sneezing at night?,0
7b23337ce937bcb2fce9,What is 1 ton truck?,0
fac2b1e21bcdd3caa608,How can I start a vlog and make money?,0
06149124a968b9ec3fbb,Why is board hunting popular in countries like Argentina?,0
6cac611b17be8b8d6ab3,Has the fairy tail anime finished or are they waiting for the manga to get ahead?,0
65442ee1ccd3c634e02f,Is it common for men and women to name their genitalia?,0
b14457f13c02251e2cdd,What is the relationship between velocity and wavelength?,0
fafe8b66755b846ac1d8,Who is the best person to contact for a conversion optimization pitch at an e-commerce site?,0
a18995de22f212419cc6,Why do Indians hesitate to learn Sanskrit even though it is their grand old language?,1
842e4460d394d0b2bef5,What misconceptions do long term Indian immigrants to US have about India?,0
78648a57c14c9dc41e89,Can we pay our loan principal amount in any branch?,0
eafe201856c9debb8033,Is it possible to get a MEng after MSc?,0
7c2777965a6ccf81d202,What would happen if the world practised one common religion of humanity as a ways of life?,0
